strategy,heuristic,alpha,beta,avg_z,std_z,avg_n_stations,avg_cost,budget_util_pct
all-ants,coverage_efficiency,0.5,0.5,39208504.92,752642.3900000043,19.0,104904.5,99.55349940688019
all-ants,coverage_efficiency,0.5,1.0,39912467.07500002,18238.224999997765,20.0,104498.0,99.16773428232503
all-ants,coverage_efficiency,0.5,2.0,39072200.3,858505.0000000112,19.5,104863.0,99.5141162514828
all-ants,coverage_efficiency,1.0,0.5,38142468.96000001,522245.0900000036,20.5,105009.5,99.65314353499407
all-ants,coverage_efficiency,1.0,1.0,39877848.14000001,16050.5,20.0,104813.0,99.46666666666667
all-ants,coverage_efficiency,1.0,2.0,39912467.07500002,18238.224999997765,20.0,104498.0,99.16773428232503
all-ants,gravity,0.2,0.5,37296698.05,397033.47000000253,20.5,104507.5,99.1767497034401
all-ants,gravity,0.2,1.0,36393957.11,191051.58000000566,20.0,104898.5,99.54780545670225
all-ants,gravity,0.2,2.0,36110828.865,349099.8350000009,20.0,104358.0,99.03487544483986
all-ants,gravity,0.5,0.5,37735448.730000004,189212.70999999717,19.5,104547.5,99.214709371293
all-ants,gravity,0.5,1.0,36480585.370000005,185273.0799999945,19.5,104663.0,99.32431791221826
all-ants,gravity,0.5,2.0,35891163.53,129434.49999999627,20.0,104906.0,99.55492289442468
all-ants,gravity,1.0,0.5,38127259.735,1044041.4649999999,19.5,104370.0,99.04626334519573
all-ants,gravity,1.0,1.0,36562138.315,102067.81500000507,19.5,104487.5,99.15776986951364
all-ants,gravity,1.0,2.0,36104636.845,101921.48500000685,20.0,104947.0,99.5938315539739
